Conference,Score
Big 12 Conference,43.3
Big Ten Conference,40.2
Southeastern Conference,40.1
Pacific-10 Conference,37.2
Big East Conference,36.7
Mountain West Conference,34.9
Atlantic Coast Conference,34.1
Independent,29.7
Conference USA,26.4
Mid-American Conference,24.2
Western Athletic Conference,20.5
Sun Belt Conference,16.7
FCS,3.6
