Conference,Score
Big 12 Conference,31.0
Big Ten Conference,31.0
Pacific-10 Conference,30.4
Southeastern Conference,30.2
Big East Conference,26.1
Independent,25.9
Mountain West Conference,25.3
Atlantic Coast Conference,25.1
Conference USA,20.0
Mid-American Conference,16.6
Western Athletic Conference,11.1
Sun Belt Conference,10.0
FCS,1.0
