Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
georgia,13,5,-8,52.2,36.5,20.7
tennessee,17,20,3,50.2,33.5,13.9
florida,27,11,-16,43.2,44.6,16.8
south-carolina,34,57,23,39.9,18.1,7.1
kentucky,72,84,12,24.9,8.1,7.9
vanderbilt,56,82,26,30.8,19.8,3.4
louisiana-state,11,23,12,53.5,38.5,14.7
mississippi,62,46,-16,28.4,15.2,7.1
auburn,84,51,-33,20.7,20.2,16.8
arkansas,28,27,-1,42.5,29.1,17.9
alabama,29,3,-26,42.0,42.4,22.5
mississippi-state,92,85,-7,17.9,3.1,2.7
florida-state,4,10,6,59.9,48.1,19.1
maryland,81,52,-29,21.8,23.8,16.1
clemson,87,83,-4,20.1,-1.6,6.2
north-carolina-state,46,32,-14,32.9,24.1,14.0
virginia,67,29,-38,27.5,13.3,11.4
georgia-tech,48,77,29,32.8,23.8,9.0
wake-forest,10,22,12,53.8,39.0,14.0
duke,74,86,12,23.6,5.5,3.8
north-carolina,101,100,-1,12.8,-3.4,3.0
michigan,3,14,11,61.5,50.5,17.1
ohio-state,19,7,-12,49.4,32.3,21.1
purdue,63,40,-23,28.4,29.3,14.4
iowa,8,8,0,54.5,40.1,21.4
minnesota,14,39,25,51.8,36.0,10.5
michigan-state,45,59,14,33.8,9.0,3.1
wisconsin,18,15,-3,50.0,33.3,16.1
northwestern,66,80,14,27.6,13.5,3.7
penn-state,49,13,-36,32.6,23.5,20.2
indiana,107,102,-5,10.1,-11.6,4.1
illinois,57,68,11,30.8,19.8,8.6
kansas-state,1,1,0,64.2,48.2,29.1
nebraska,16,17,1,50.8,34.4,16.1
missouri,20,33,13,49.3,32.3,11.7
kansas,85,112,27,20.4,-0.8,9.5
colorado,22,25,3,47.4,29.3,14.3
iowa-state,40,63,23,37.1,14.0,10.4
oklahoma,2,4,2,61.7,50.9,22.1
texas,7,6,-1,58.0,54.9,20.0
oklahoma-state,55,70,15,30.8,19.9,9.4
texas-tech,24,24,0,46.8,28.4,12.1
texas-am,26,45,19,44.8,25.5,9.0
baylor,113,106,-7,7.3,-19.9,5.5
southern-california,6,2,-4,59.4,47.4,26.6
washington-state,42,19,-23,36.1,30.5,15.2
oregon,33,38,5,40.1,18.4,10.5
california,59,35,-24,29.0,25.9,14.8
oregon-state,51,28,-23,32.5,23.3,14.0
washington,61,65,4,28.5,15.3,9.8
ucla,68,43,-25,27.3,26.6,12.3
arizona-state,52,50,-2,32.4,12.2,9.5
stanford,43,64,21,34.9,16.5,4.9
arizona,91,58,-33,18.3,-5.2,3.2
miami-fl,5,9,4,59.5,47.5,20.6
west-virginia,39,54,15,37.7,33.7,16.4
pittsburgh,21,41,20,47.6,37.7,14.1
virginia-tech,9,16,7,54.2,39.6,17.5
boston-college,36,60,24,38.9,36.1,12.8
syracuse,53,62,9,31.2,10.3,6.0
rutgers,100,105,5,13.7,-14.4,7.9
temple,99,66,-33,13.8,-0.2,7.8
utah,58,47,-11,30.7,19.6,6.6
new-mexico,35,18,-17,39.0,36.2,14.5
colorado-state,41,56,15,36.7,31.7,11.8
air-force,15,12,-3,51.3,35.3,17.1
san-diego-state,77,88,11,23.1,4.5,3.3
brigham-young,54,55,1,31.0,20.3,4.3
nevada-las-vegas,76,42,-34,23.1,4.5,7.0
wyoming,103,103,0,12.5,-16.8,6.7
connecticut,38,44,6,38.0,15.3,7.3
navy,69,49,-20,27.2,12.6,5.3
troy,98,72,-26,14.3,1.1,6.7
notre-dame,25,36,11,46.8,36.2,15.8
southern-mississippi,88,92,4,19.5,-2.8,4.9
texas-christian,31,31,0,41.6,20.7,12.2
louisville,32,30,-2,40.8,26.3,10.5
memphis,44,69,25,34.3,9.7,2.0
south-florida,71,61,-10,25.2,8.6,12.4
houston,83,48,-35,21.1,0.4,5.6
alabama-birmingham,95,81,-14,16.1,-9.6,2.1
tulane,94,87,-7,16.1,-9.4,1.6
cincinnati,30,21,-9,41.7,27.8,13.0
east-carolina,114,109,-5,6.8,-21.2,6.3
army,115,114,-1,6.4,-25.7,12.1
boise-state,12,37,25,53.3,47.1,15.8
fresno-state,73,91,18,23.9,6.1,2.5
tulsa,110,116,6,9.0,-14.7,12.2
hawaii,70,76,6,25.6,1.0,2.1
rice,104,98,-6,11.7,-12.5,4.0
nevada,89,89,0,19.3,-3.1,3.6
louisiana-tech,75,101,26,23.6,5.4,3.9
san-jose-state,96,95,-1,14.7,-7.4,3.2
texas-el-paso,118,118,0,0.0,-41.7,13.0
southern-methodist,106,110,4,10.8,-14.6,6.3
miami-oh,82,73,-9,21.8,12.8,7.0
marshall,65,53,-12,27.8,13.8,5.2
akron,102,104,2,12.5,-4.2,4.5
kent-state,86,74,-12,20.2,-1.4,4.4
central-florida,79,78,-1,22.0,13.2,5.1
ohio,90,67,-23,19.1,-3.4,1.9
buffalo,112,113,1,7.9,-17.9,10.9
bowling-green-state,23,26,3,47.4,29.3,11.8
northern-illinois,37,34,-3,38.9,16.6,10.5
toledo,64,75,11,28.3,14.9,9.1
western-michigan,78,90,12,22.8,3.8,1.0
