Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
Alabama,1,2,1,81.4,135.4,64.1
Michigan,2,1,-1,77.7,131.0,75.4
OhioState,3,6,3,64.2,123.3,63.0
Clemson,4,5,1,63.6,114.0,64.8
Louisville,5,4,-1,62.7,121.3,67.2
Florida,6,3,-3,62.4,123.6,81.2
LSU,7,7,0,58.9,130.4,82.9
Auburn,8,11,3,56.9,123.2,71.1
Washington,9,10,1,56.8,105.9,62.3
WesternMichigan,10,9,-1,54.4,103.1,62.6
TexasAM,11,12,1,53.8,109.5,65.4
Wisconsin,12,14,2,48.0,109.7,67.4
Navy,13,8,-5,47.4,112.2,71.6
Colorado,14,15,1,47.3,108.8,63.9
Houston,15,20,5,45.1,103.0,58.5
VirginiaTech,16,19,3,43.8,103.5,66.7
Baylor,17,16,-1,42.6,96.3,53.7
Nebraska,18,18,0,42.6,94.5,56.5
Oklahoma,19,25,6,41.5,99.9,57.7
SouthFlorida,20,27,7,41.0,97.0,59.3
BoiseState,21,13,-8,40.6,91.9,57.8
SanDiegoState,22,30,8,40.2,91.4,54.3
Troy,23,22,-1,40.2,93.0,61.0
WestVirginia,24,17,-7,38.2,90.3,59.4
PennState,25,29,4,37.8,94.4,61.5
Army,26,34,8,37.5,102.0,60.3
USC,27,35,8,36.0,99.5,60.0
FloridaState,28,23,-5,36.0,99.5,59.6
Tulsa,29,44,15,36.0,91.7,54.3
Utah,30,26,-4,35.7,89.3,56.4
WesternKentucky,31,40,9,34.9,94.4,57.8
UCF,32,21,-11,34.7,107.1,83.5
Temple,33,36,3,34.6,94.0,62.6
AppalachianState,34,42,8,34.5,89.5,56.5
Tennessee,35,24,-11,33.7,95.5,60.5
Minnesota,36,48,12,33.4,87.9,57.3
WashingtonState,37,39,2,33.0,87.3,66.7
GeorgiaTech,38,47,9,32.3,93.2,58.6
Pittsburgh,39,33,-6,31.9,92.5,60.0
AirForce,40,45,5,31.5,91.8,59.6
Stanford,41,52,11,31.0,90.9,53.6
Kentucky,42,55,13,30.3,89.6,66.0
MiddleTennessee,43,43,0,30.0,82.7,57.7
Wyoming,44,51,7,30.0,82.7,61.6
KansasState,45,50,5,29.5,88.3,59.4
NorthCarolina,46,49,3,29.5,81.9,53.6
WakeForest,47,32,-15,29.4,88.2,62.1
LouisianaTech,48,61,13,29.0,84.9,55.5
Maryland,49,38,-11,28.5,86.6,59.8
OklahomaState,50,59,9,28.2,80.1,52.1
Toledo,51,28,-23,27.9,79.6,55.3
MiamiFL,52,41,-11,27.6,92.9,58.1
NewMexico,53,57,4,27.5,84.8,57.4
BrighamYoung,54,53,-1,27.0,91.8,59.7
NorthCarolinaState,55,37,-18,26.9,91.6,62.5
SouthernMiss,56,58,2,26.8,83.8,54.9
Memphis,57,31,-26,26.0,82.4,62.8
Tulane,58,46,-12,25.0,97.7,76.0
Arkansas,59,60,1,25.0,80.6,55.0
Northwestern,60,65,5,24.9,87.6,56.7
Georgia,61,54,-7,24.9,87.5,57.7
Vanderbilt,62,64,2,23.9,85.6,61.3
Iowa,63,67,4,23.6,78.2,52.8
Indiana,64,78,14,23.4,84.6,57.6
EastCarolina,65,71,6,23.3,93.6,66.0
ArizonaState,66,56,-10,22.9,80.3,53.8
Texas,67,76,9,22.6,82.9,54.7
OleMiss,68,62,-6,22.3,91.2,59.8
BostonCollege,69,85,16,22.0,81.7,52.1
OldDominion,70,68,-2,21.8,75.2,62.8
MississippiState,71,73,2,21.7,89.7,63.3
SouthernMethodist,72,84,12,21.0,79.7,55.7
Ohio,73,81,8,20.7,71.3,53.3
SouthCarolina,74,83,9,19.9,77.6,59.1
GeorgiaSouthern,75,63,-12,19.5,76.8,49.7
Duke,76,75,-1,19.4,84.3,54.5
ColoradoState,77,79,2,18.8,75.3,57.9
TCU,78,69,-9,18.7,75.2,54.4
Syracuse,79,80,1,18.3,74.3,55.9
UCLA,80,82,2,17.8,80.4,54.8
NotreDame,81,93,12,17.7,80.3,51.5
Oregon,82,94,12,17.7,80.3,53.0
CentralMichigan,83,70,-13,17.6,70.3,49.8
California,84,77,-7,17.4,72.5,53.6
EasternMichigan,85,66,-19,17.0,69.3,58.0
TexasTech,86,91,5,16.8,71.3,52.7
NorthTexas,87,74,-13,16.5,70.7,65.9
Missouri,88,72,-16,16.4,87.0,65.1
BallState,89,90,1,15.6,68.9,56.2
Cincinnati,90,87,-3,14.8,67.3,51.5
UTSA,91,95,4,14.8,67.3,61.2
Connecticut,92,88,-4,14.3,74.9,59.3
MichiganState,93,98,5,14.3,80.5,53.0
LouisianaLafayette,94,92,-2,13.4,67.2,60.6
UtahState,95,86,-9,13.3,69.6,53.0
OregonState,96,100,4,12.3,74.5,55.8
SouthAlabama,97,101,4,12.1,62.0,54.0
Akron,98,89,-9,11.9,59.9,53.5
UNLV,99,96,-3,11.7,68.1,51.2
Arizona,100,97,-3,11.3,71.6,54.6
NorthernIllinois,101,105,4,11.3,71.5,57.4
Illinois,102,99,-3,10.8,70.0,50.5
ArkansasState,103,106,3,10.5,60.9,54.8
Idaho,104,103,-1,10.2,58.1,58.5
Virginia,105,107,2,10.2,68.2,59.9
Hawaii,106,102,-4,9.9,59.1,58.5
Charlotte,107,104,-3,9.7,61.0,59.8
KentState,108,115,7,9.6,62.6,50.7
MiamiOH,109,116,7,8.6,60.1,52.8
Massachusetts,110,113,3,8.4,65.2,61.1
Rutgers,111,109,-2,8.2,62.4,49.3
GeorgiaState,112,108,-4,7.6,60.7,62.2
FloridaInternational,113,111,-2,7.2,56.5,59.9
Marshall,114,110,-4,6.8,58.1,47.0
Rice,115,112,-3,5.7,60.5,57.2
IowaState,116,120,4,4.9,57.4,57.2
NewMexicoState,117,117,0,4.8,52.0,57.2
