Conference,Score
Southeastern Conference,28.0
Atlantic Coast Conference,27.3
Big Ten Conference,25.9
Pac-12 Conference,25.7
Big 12 Conference,23.7
Independent,22.1
American Athletic Conference,20.3
Mountain West Conference,19.4
Mid-American Conference,16.4
Sun Belt Conference,13.2
Conference USA,11.8
FCS,0.0
