Conference,Score
SEC,27.1
ACC,26.8
Pac12,26.1
B1G,25.1
Big12,22.3
Independents,21.8
MountainWest,20.2
AAC,20.0
MAC,16.1
SunBelt,13.4
CUSA,11.6
FCS,0.1
