Division,Score
Southeastern Conference - West,39.1
Big Ten Conference - East,35.5
Atlantic Coast Conference - Atlantic,34.9
American Athletic Conference - West,28.1
Pac-12 Conference - South,27.5
Atlantic Coast Conference - Coastal,27.2
Pac-12 Conference - North,25.6
Mountain West Conference - Mountain,24.8
Mid-American Conference - West,23.5
Big 12 Conference,23.2
Southeastern Conference - East,23.2
Big Ten Conference - West,22.3
American Athletic Conference - East,20.0
Independent,18.8
Sun Belt Conference,12.3
Conference USA - East,11.8
Conference USA - West,10.4
Mountain West Conference - West,9.7
Mid-American Conference - East,8.6
FCS,0.2
