Division,Score
Southeastern Conference - West,42.3
Big Ten Conference - East,36.7
Atlantic Coast Conference - Atlantic,36.2
Pac-12 Conference - South,31.4
American Athletic Conference - West,30.2
Pac-12 Conference - North,29.6
Mountain West Conference - Mountain,29.1
Atlantic Coast Conference - Coastal,28.5
Big Ten Conference - West,27.4
Mid-American Conference - West,25.8
Big 12 Conference,25.6
Southeastern Conference - East,24.8
American Athletic Conference - East,23.0
Independent,21.8
Conference USA - East,16.9
Sun Belt Conference,15.1
Conference USA - West,14.9
Mountain West Conference - West,14.2
Mid-American Conference - East,10.7
FCS,0.6
