Division,Score
Big Ten Conference - East,36.4
Southeastern Conference - West,34.0
Atlantic Coast Conference - Atlantic,32.2
American Athletic Conference - West,29.3
Pac-12 Conference - South,28.3
Atlantic Coast Conference - Coastal,26.8
Pac-12 Conference - North,26.7
Mid-American Conference - West,25.9
Southeastern Conference - East,24.2
Mountain West Conference - Mountain,24.0
Big 12 Conference,22.8
Independent,22.5
Big Ten Conference - West,22.4
American Athletic Conference - East,20.6
Sun Belt Conference,12.5
Mountain West Conference - West,12.3
Conference USA - East,12.0
Conference USA - West,10.8
Mid-American Conference - East,9.0
FCS,0.2
