Division,Score
Southeastern Conference - West,40.7
Big Ten Conference - East,36.9
Atlantic Coast Conference - Atlantic,35.2
American Athletic Conference - West,32.1
Pac-12 Conference - North,31.8
Mountain West Conference - Mountain,30.1
Pac-12 Conference - South,29.5
Atlantic Coast Conference - Coastal,29.5
Big Ten Conference - West,28.1
Mid-American Conference - West,26.2
Big 12 Conference,25.8
Southeastern Conference - East,25.3
Independent,23.6
American Athletic Conference - East,23.4
Conference USA - East,17.7
Sun Belt Conference,16.0
Conference USA - West,14.4
Mountain West Conference - West,13.2
Mid-American Conference - East,11.2
FCS,0.7
