Division,Score
Atlantic Coast Conference - Atlantic,34.7
Southeastern Conference - West,34.4
Big Ten Conference - East,32.8
American Athletic Conference - West,30.5
Atlantic Coast Conference - Coastal,27.1
Pac-12 Conference - South,26.8
Pac-12 Conference - North,25.8
Mid-American Conference - West,24.1
Southeastern Conference - East,23.9
Big Ten Conference - West,23.8
Big 12 Conference,23.1
Mountain West Conference - Mountain,23.1
American Athletic Conference - East,18.6
Independent,17.6
Sun Belt Conference,11.6
Conference USA - East,10.7
Mountain West Conference - West,10.0
Conference USA - West,9.5
Mid-American Conference - East,7.6
FCS,0.1
