Division,Score
Southeastern Conference - West,40.8
Big Ten Conference - East,37.1
Atlantic Coast Conference - Atlantic,35.4
American Athletic Conference - West,33.4
Pac-12 Conference - North,31.4
Mountain West Conference - Mountain,31.3
Pac-12 Conference - South,30.7
Atlantic Coast Conference - Coastal,29.9
Big Ten Conference - West,29.0
Mid-American Conference - West,26.7
Big 12 Conference,26.3
Southeastern Conference - East,26.1
Independent,23.8
American Athletic Conference - East,23.1
Conference USA - East,17.9
Sun Belt Conference,16.0
Conference USA - West,15.5
Mountain West Conference - West,13.5
Mid-American Conference - East,11.4
FCS,0.7
