Division,Score
Southeastern Conference - West,40.3
Big Ten Conference - East,36.2
Atlantic Coast Conference - Atlantic,35.3
Pac-12 Conference - North,31.7
Pac-12 Conference - South,29.3
Mountain West Conference - Mountain,29.3
American Athletic Conference - West,29.3
Atlantic Coast Conference - Coastal,29.2
Big Ten Conference - West,27.7
Big 12 Conference,25.2
Mid-American Conference - West,24.8
Southeastern Conference - East,24.5
Independent,24.2
American Athletic Conference - East,22.1
Conference USA - East,17.3
Sun Belt Conference,16.6
Conference USA - West,14.5
Mountain West Conference - West,13.9
Mid-American Conference - East,10.6
FCS,0.6
