Division,Score
Southeastern Conference - West,32.1
Atlantic Coast Conference - Atlantic,28.7
Big Ten Conference - East,27.5
Atlantic Coast Conference - Coastal,25.9
Pac-12 Conference - South,25.7
Pac-12 Conference - North,25.6
Big Ten Conference - West,24.3
Southeastern Conference - East,23.8
Big 12 Conference,23.7
Mountain West Conference - Mountain,22.7
Independent,22.1
American Athletic Conference - West,21.9
American Athletic Conference - East,18.8
Mid-American Conference - West,17.1
Mountain West Conference - West,16.1
Mid-American Conference - East,15.8
Sun Belt Conference,13.2
Conference USA - East,12.5
Conference USA - West,10.9
FCS,0.0
