Division,Score
Southeastern Conference - West,41.7
Big Ten Conference - East,37.8
Atlantic Coast Conference - Atlantic,35.9
American Athletic Conference - West,33.5
Pac-12 Conference - South,31.7
Pac-12 Conference - North,31.5
Mountain West Conference - Mountain,31.5
Atlantic Coast Conference - Coastal,30.4
Big Ten Conference - West,29.4
Mid-American Conference - West,27.4
Southeastern Conference - East,26.8
Big 12 Conference,26.7
Independent,24.0
American Athletic Conference - East,23.5
Conference USA - East,18.1
Sun Belt Conference,16.1
Conference USA - West,15.9
Mountain West Conference - West,14.7
Mid-American Conference - East,11.5
FCS,0.8
