Division,Score
Southeastern Conference - West,40.1
Atlantic Coast Conference - Atlantic,34.8
Big Ten Conference - East,33.5
American Athletic Conference - West,27.7
Pac-12 Conference - South,27.3
Pac-12 Conference - North,26.4
Atlantic Coast Conference - Coastal,26.1
Mid-American Conference - West,24.9
Big Ten Conference - West,24.4
Mountain West Conference - Mountain,24.3
Big 12 Conference,23.6
Southeastern Conference - East,21.8
Independent,20.3
American Athletic Conference - East,19.8
Conference USA - East,11.8
Sun Belt Conference,11.8
Conference USA - West,10.4
Mountain West Conference - West,10.0
Mid-American Conference - East,7.5
FCS,0.1
