Division,Score
Southeastern Conference - West,42.2
Atlantic Coast Conference - Atlantic,36.0
Big Ten Conference - East,35.9
Pac-12 Conference - South,29.2
Pac-12 Conference - North,28.9
American Athletic Conference - West,28.3
Atlantic Coast Conference - Coastal,27.4
Mountain West Conference - Mountain,27.3
Big Ten Conference - West,26.8
Southeastern Conference - East,24.9
Big 12 Conference,24.8
Mid-American Conference - West,24.7
American Athletic Conference - East,22.4
Independent,22.0
Conference USA - East,15.4
Conference USA - West,15.4
Sun Belt Conference,14.1
Mountain West Conference - West,12.3
Mid-American Conference - East,10.0
FCS,0.5
