Division,Score
Big Ten Conference - East,36.1
Atlantic Coast Conference - Atlantic,34.8
Southeastern Conference - West,33.1
Big Ten Conference - West,31.4
American Athletic Conference - West,29.4
Mountain West Conference - Mountain,29.2
Atlantic Coast Conference - Coastal,29.1
Big 12 Conference,28.6
Mid-American Conference - West,28.0
Southeastern Conference - East,27.2
Pac-12 Conference - North,27.1
Independent,26.9
Pac-12 Conference - South,26.5
American Athletic Conference - East,22.9
Conference USA - East,18.1
Sun Belt Conference,17.9
Mountain West Conference - West,15.9
Conference USA - West,15.2
Mid-American Conference - East,13.7
FCS,1.2
