Division,Score
Southeastern Conference - West,41.8
Big Ten Conference - East,36.5
Atlantic Coast Conference - Atlantic,35.4
Pac-12 Conference - North,28.9
Pac-12 Conference - South,28.8
American Athletic Conference - West,28.5
Mountain West Conference - Mountain,28.0
Atlantic Coast Conference - Coastal,26.3
Big Ten Conference - West,25.0
Mid-American Conference - West,24.3
Big 12 Conference,23.8
Southeastern Conference - East,22.7
American Athletic Conference - East,21.8
Independent,20.2
Conference USA - East,15.5
Conference USA - West,14.2
Sun Belt Conference,13.7
Mountain West Conference - West,12.3
Mid-American Conference - East,9.7
FCS,0.3
