Division,Score
Southeastern Conference - West,40.7
Big Ten Conference - East,36.9
Atlantic Coast Conference - Atlantic,35.2
Pac-12 Conference - North,31.8
American Athletic Conference - West,31.3
Mountain West Conference - Mountain,30.1
Pac-12 Conference - South,29.6
Atlantic Coast Conference - Coastal,29.5
Big Ten Conference - West,28.2
Mid-American Conference - West,26.2
Big 12 Conference,25.8
Southeastern Conference - East,25.3
Independent,24.4
American Athletic Conference - East,23.3
Conference USA - East,17.7
Sun Belt Conference,16.0
Conference USA - West,14.5
Mountain West Conference - West,13.2
Mid-American Conference - East,11.2
FCS,0.7
