Division,Score
Southeastern Conference - West,40.6
Big Ten Conference - East,36.7
Atlantic Coast Conference - Atlantic,34.9
Pac-12 Conference - North,31.7
American Athletic Conference - West,30.6
Mountain West Conference - Mountain,30.2
Pac-12 Conference - South,29.5
Atlantic Coast Conference - Coastal,29.3
Big Ten Conference - West,27.9
Big 12 Conference,25.5
Southeastern Conference - East,25.2
Mid-American Conference - West,25.0
Independent,24.2
American Athletic Conference - East,22.5
Conference USA - East,17.6
Sun Belt Conference,16.4
Conference USA - West,14.6
Mountain West Conference - West,13.6
Mid-American Conference - East,10.9
FCS,0.7
