Conference,Score
Southeastern Conference,33.0
Big Ten Conference,32.5
Atlantic Coast Conference,32.3
Pac-12 Conference,30.7
American Athletic Conference,27.7
Big 12 Conference,25.8
Independent,23.6
Mountain West Conference,21.6
Mid-American Conference,18.7
Conference USA,16.2
Sun Belt Conference,16.0
FCS,0.7
