Division,Score
Southeastern Conference - West,35.3
Atlantic Coast Conference - Atlantic,34.3
Big Ten Conference - East,32.6
Pac-12 Conference - South,29.8
American Athletic Conference - West,28.4
Big Ten Conference - West,26.0
Southeastern Conference - East,25.5
Atlantic Coast Conference - Coastal,25.4
Independent,23.8
Pac-12 Conference - North,23.5
Big 12 Conference,23.2
American Athletic Conference - East,23.0
Mountain West Conference - Mountain,22.7
Mid-American Conference - West,22.4
Conference USA - East,16.0
Sun Belt Conference,14.7
Conference USA - West,14.5
Mountain West Conference - West,14.0
Mid-American Conference - East,8.5
FCS,0.2
