Division,Score
Southeastern Conference - West,44.1
Atlantic Coast Conference - Atlantic,39.4
Big Ten Conference - East,37.5
Pac-12 Conference - South,32.0
American Athletic Conference - West,31.2
Mountain West Conference - Mountain,30.3
Pac-12 Conference - North,29.6
Atlantic Coast Conference - Coastal,29.6
Mid-American Conference - West,29.3
Big Ten Conference - West,28.5
Big 12 Conference,26.9
Southeastern Conference - East,26.7
American Athletic Conference - East,23.8
Independent,21.1
Conference USA - East,16.7
Conference USA - West,16.2
Sun Belt Conference,15.7
Mountain West Conference - West,12.7
Mid-American Conference - East,10.0
FCS,0.9
