Division,Score
Southeastern Conference - West,34.3
Big 12 Conference - South,32.0
Southeastern Conference - East,29.2
Big East Conference,27.3
Big 12 Conference - North,26.8
Pacific-10 Conference,26.2
Big Ten Conference,24.7
Atlantic Coast Conference - Coastal,24.4
Independent,22.6
Atlantic Coast Conference - Atlantic,21.2
Mountain West Conference,19.0
Western Athletic Conference,13.9
Conference USA - East,12.1
Conference USA - West,11.4
Mid-American Conference - West,11.3
Sun Belt Conference,9.8
Mid-American Conference - East,7.3
FCS,0.0
