Division,Score
Southeastern Conference - West,41.8
Big 12 Conference - South,37.3
Southeastern Conference - East,34.1
Atlantic Coast Conference - Coastal,33.9
Big East Conference,32.1
Pacific-10 Conference,30.5
Big Ten Conference,27.4
Big 12 Conference - North,25.1
Independent,24.5
Mountain West Conference,24.5
Atlantic Coast Conference - Atlantic,21.9
Western Athletic Conference,20.7
Conference USA - East,20.3
Mid-American Conference - West,14.4
Mid-American Conference - East,13.6
Sun Belt Conference,13.5
Conference USA - West,11.9
FCS,0.5
