Conference,Score
Southeastern Conference,38.0
Big East Conference,32.4
Big 12 Conference,31.2
Pacific-10 Conference,30.5
Atlantic Coast Conference,27.9
Big Ten Conference,27.3
Mountain West Conference,24.9
Independent,24.6
Western Athletic Conference,20.2
Conference USA,15.5
Mid-American Conference,13.9
Sun Belt Conference,13.9
FCS,0.5
