Conference,Score
Southeastern Conference,36.1
Big East Conference,32.9
Big 12 Conference,30.5
Pacific-10 Conference,30.4
Atlantic Coast Conference,28.5
Independent,27.8
Big Ten Conference,27.0
Mountain West Conference,24.4
Western Athletic Conference,20.0
Conference USA,14.9
Mid-American Conference,12.9
Sun Belt Conference,12.7
FCS,0.4
