Division,Score
Big 12 Conference - South,31.0
Southeastern Conference - East,27.6
Big Ten Conference,26.1
Atlantic Coast Conference - Atlantic,25.6
Southeastern Conference - West,25.3
Atlantic Coast Conference - Coastal,24.4
Big East Conference,24.2
Pacific-10 Conference,23.9
Big 12 Conference - North,22.2
Independent,22.1
Mountain West Conference,20.6
Conference USA - East,17.7
Mid-American Conference - West,16.5
Conference USA - West,15.5
Mid-American Conference - East,14.8
Western Athletic Conference,14.3
Sun Belt Conference,13.3
FCS,1.6
