Division,Score
Southeastern Conference - West,42.1
Big 12 Conference - South,38.7
Atlantic Coast Conference - Coastal,36.9
Big East Conference,34.5
Southeastern Conference - East,34.2
Pacific-10 Conference,31.3
Big Ten Conference,27.7
Independent,27.4
Big 12 Conference - North,26.0
Mountain West Conference,25.8
Atlantic Coast Conference - Atlantic,24.4
Western Athletic Conference,21.6
Conference USA - East,21.5
Mid-American Conference - West,15.0
Mid-American Conference - East,14.3
Sun Belt Conference,13.7
Conference USA - West,12.4
FCS,0.6
