Division,Score
Southeastern Conference - West,34.3
Big 12 Conference - South,32.6
Southeastern Conference - East,29.9
Atlantic Coast Conference - Coastal,29.9
Big East Conference,29.9
Pacific-10 Conference,27.3
Independent,26.0
Big Ten Conference,25.6
Big 12 Conference - North,25.4
Mountain West Conference,21.1
Atlantic Coast Conference - Atlantic,19.9
Western Athletic Conference,16.0
Conference USA - East,13.1
Mid-American Conference - West,12.6
Conference USA - West,11.3
Sun Belt Conference,10.9
Mid-American Conference - East,9.9
FCS,0.1
