Division,Score
Southeastern Conference - West,33.3
Big 12 Conference - South,32.5
Big East Conference,29.5
Southeastern Conference - East,29.1
Atlantic Coast Conference - Coastal,29.0
Independent,26.3
Pacific-10 Conference,26.1
Big 12 Conference - North,25.9
Big Ten Conference,24.6
Mountain West Conference,20.0
Atlantic Coast Conference - Atlantic,19.1
Western Athletic Conference,14.7
Conference USA - East,12.6
Mid-American Conference - West,12.0
Conference USA - West,11.1
Sun Belt Conference,10.4
Mid-American Conference - East,8.5
FCS,0.0
