Division,Score
Southeastern Conference - West,41.3
Big 12 Conference - South,37.7
Southeastern Conference - East,35.4
Atlantic Coast Conference - Coastal,34.4
Big East Conference,32.5
Pacific-10 Conference,31.1
Big Ten Conference,27.0
Big 12 Conference - North,25.4
Mountain West Conference,24.9
Independent,24.6
Atlantic Coast Conference - Atlantic,23.0
Western Athletic Conference,21.1
Conference USA - East,20.2
Mid-American Conference - West,14.3
Mid-American Conference - East,13.8
Sun Belt Conference,13.4
Conference USA - West,12.5
FCS,0.5
