Division,Score
Southeastern Conference - West,35.2
Big 12 Conference - South,34.4
Southeastern Conference - East,31.4
Big East Conference,31.1
Atlantic Coast Conference - Coastal,30.7
Pacific-10 Conference,28.6
Independent,27.8
Big Ten Conference,26.5
Big 12 Conference - North,25.0
Mountain West Conference,22.0
Atlantic Coast Conference - Atlantic,21.1
Western Athletic Conference,17.2
Conference USA - East,15.4
Mid-American Conference - West,13.7
Sun Belt Conference,11.7
Conference USA - West,11.6
Mid-American Conference - East,10.7
FCS,0.2
