Division,Score
Big 12 Conference - South,36.3
Southeastern Conference - West,34.8
Southeastern Conference - East,33.4
Pacific-10 Conference,29.6
Big Ten Conference,29.5
Big East Conference,28.0
Big 12 Conference - North,26.4
Independent,25.4
Atlantic Coast Conference - Coastal,24.4
Atlantic Coast Conference - Atlantic,24.3
Mountain West Conference,23.5
Conference USA - West,16.1
Conference USA - East,15.2
Western Athletic Conference,14.4
Sun Belt Conference,14.3
Mid-American Conference - East,13.5
Mid-American Conference - West,11.5
FCS,0.7
