Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
florida,2,3,1,69.4,49.9,11.9
georgia,33,32,-1,35.0,26.1,7.4
tennessee,41,42,1,31.5,26.0,7.4
kentucky,47,48,1,28.2,19.9,6.4
south-carolina,48,50,2,27.3,18.2,5.2
vanderbilt,98,98,0,10.1,7.1,5.9
alabama,1,1,0,75.5,51.5,11.4
louisiana-state,20,19,-1,39.3,27.4,8.5
mississippi,16,16,0,41.7,31.1,7.5
arkansas,32,34,2,35.2,26.5,11.1
auburn,29,30,1,35.7,27.2,7.2
mississippi-state,52,52,0,26.7,27.5,10.5
cincinnati,8,9,1,50.5,27.9,8.3
pittsburgh,12,12,0,45.5,31.1,8.7
west-virginia,31,31,0,35.4,21.3,7.5
rutgers,35,35,0,34.8,20.4,8.1
connecticut,37,37,0,33.4,23.3,5.8
south-florida,43,43,0,31.3,19.8,7.0
louisville,85,86,1,13.7,3.0,4.3
syracuse,82,82,0,14.9,6.2,5.3
clemson,30,29,-1,35.4,24.5,8.7
boston-college,44,44,0,30.2,18.0,6.5
florida-state,57,57,0,24.8,13.4,5.4
wake-forest,69,69,0,18.9,9.7,4.1
north-carolina-state,74,70,-4,18.5,8.9,6.0
maryland,106,106,0,7.8,-2.3,6.2
georgia-tech,10,6,-4,49.4,34.9,12.2
virginia-tech,7,8,1,52.3,40.7,10.4
miami-fl,21,20,-1,38.5,26.1,7.7
north-carolina,36,36,0,33.5,23.6,7.9
duke,83,83,0,14.6,-0.1,7.7
virginia,94,94,0,11.1,2.2,8.1
nebraska,13,13,0,44.2,32.9,8.1
missouri,45,45,0,29.8,17.2,6.7
kansas-state,58,58,0,24.3,15.2,10.1
iowa-state,63,63,0,21.9,8.0,8.9
colorado,96,95,-1,10.9,1.6,8.6
kansas,67,67,0,19.4,10.9,6.9
texas,3,2,-1,64.5,44.0,11.0
oklahoma-state,23,21,-2,38.1,25.4,8.0
texas-tech,34,33,-1,34.9,20.6,6.4
oklahoma,17,17,0,41.0,36.4,9.7
texas-am,61,60,-1,22.5,14.4,6.6
baylor,86,85,-1,13.6,2.8,6.2
oregon,9,10,1,50.4,37.9,10.9
arizona,39,40,1,32.4,21.7,6.9
oregon-state,40,38,-2,32.4,21.7,8.0
stanford,27,27,0,36.6,28.8,10.1
southern-california,25,24,-1,37.5,24.6,10.9
california,42,41,-1,31.5,20.1,7.8
washington,65,65,0,21.1,14.7,8.9
ucla,56,56,0,25.0,13.8,7.1
arizona-state,75,75,0,18.3,15.3,5.3
washington-state,117,117,0,1.7,-24.1,7.7
ohio-state,6,7,1,53.4,36.5,8.3
iowa,18,25,7,40.1,19.0,6.9
penn-state,11,11,0,48.2,29.6,7.5
wisconsin,15,15,0,42.4,26.7,7.2
northwestern,62,62,0,22.4,4.7,4.3
michigan-state,60,61,1,22.5,14.4,4.6
purdue,76,76,0,18.1,8.0,3.9
minnesota,70,71,1,18.8,6.6,3.9
illinois,88,89,1,13.2,8.8,4.7
michigan,73,74,1,18.5,8.9,4.3
indiana,91,92,1,11.8,-2.0,4.7
texas-christian,4,4,0,63.3,43.4,11.7
brigham-young,14,14,0,43.6,23.6,6.6
utah,28,28,0,36.3,18.0,5.0
