Division,Score
Southeastern Conference - West,39.5
Big 12 Conference - South,36.4
Atlantic Coast Conference - Coastal,33.7
Big East Conference,32.9
Southeastern Conference - East,32.6
Pacific-10 Conference,30.4
Independent,27.8
Big Ten Conference,27.0
Big 12 Conference - North,24.7
Mountain West Conference,24.4
Atlantic Coast Conference - Atlantic,23.3
Western Athletic Conference,20.0
Conference USA - East,17.3
Mid-American Conference - West,14.1
Sun Belt Conference,12.7
Conference USA - West,12.4
Mid-American Conference - East,11.9
FCS,0.4
