Conference,Score
Southeastern Conference,32.1
Big East Conference,29.9
Big 12 Conference,29.0
Pacific-10 Conference,27.3
Independent,26.0
Big Ten Conference,25.6
Atlantic Coast Conference,24.9
Mountain West Conference,21.1
Western Athletic Conference,16.0
Conference USA,12.2
Mid-American Conference,11.2
Sun Belt Conference,10.9
FCS,0.1
