Division,Score
Big 12 Conference - South,37.4
Southeastern Conference - East,34.4
Southeastern Conference - West,34.2
Big East Conference,29.5
Big 12 Conference - North,29.1
Pacific-10 Conference,29.0
Big Ten Conference,26.9
Atlantic Coast Conference - Coastal,25.9
Independent,24.1
Atlantic Coast Conference - Atlantic,23.9
Mountain West Conference,21.5
Western Athletic Conference,15.7
Conference USA - East,14.4
Conference USA - West,13.8
Mid-American Conference - West,13.1
Sun Belt Conference,12.0
Mid-American Conference - East,7.8
FCS,0.3
