Division,Score
Southeastern Conference - West,42.4
Big 12 Conference - South,35.8
Southeastern Conference - East,33.6
Atlantic Coast Conference - Coastal,33.2
Big East Conference,32.4
Pacific-10 Conference,28.7
Big Ten Conference,28.1
Independent,26.1
Mountain West Conference,25.4
Big 12 Conference - North,25.1
Atlantic Coast Conference - Atlantic,22.6
Conference USA - East,20.0
Western Athletic Conference,19.7
Sun Belt Conference,14.1
Mid-American Conference - West,13.9
Mid-American Conference - East,12.9
Conference USA - West,12.3
FCS,0.6
