Conference,Score
Southeastern Conference,37.8
Big East Conference,32.5
Big 12 Conference,31.0
Pacific-10 Conference,28.7
Atlantic Coast Conference,28.6
Big Ten Conference,27.7
Mountain West Conference,26.3
Independent,26.1
Western Athletic Conference,19.4
Conference USA,16.3
Sun Belt Conference,14.2
Mid-American Conference,13.4
FCS,0.6
