Division,Score
Southeastern Conference - West,37.8
Big 12 Conference - South,35.7
Southeastern Conference - East,33.3
Big East Conference,31.8
Pacific-10 Conference,30.5
Big Ten Conference,29.8
Big 12 Conference - North,27.2
Atlantic Coast Conference - Coastal,27.1
Atlantic Coast Conference - Atlantic,26.9
Independent,24.7
Mountain West Conference,21.8
Conference USA - East,17.0
Western Athletic Conference,14.2
Conference USA - West,14.2
Mid-American Conference - West,13.7
Sun Belt Conference,13.4
Mid-American Conference - East,9.7
FCS,0.7
