Conference,Score
Southeastern Conference,36.8
Big East Conference,33.0
Big 12 Conference,31.1
Pacific-10 Conference,30.3
Atlantic Coast Conference,29.5
Independent,26.9
Big Ten Conference,26.6
Mountain West Conference,24.8
Western Athletic Conference,20.3
Conference USA,15.4
Mid-American Conference,13.3
Sun Belt Conference,12.9
FCS,0.5
