Division,Score
Southeastern Conference - West,40.9
Big 12 Conference - South,37.1
Atlantic Coast Conference - Coastal,34.7
Big East Conference,33.0
Southeastern Conference - East,32.7
Pacific-10 Conference,30.3
Independent,26.9
Big Ten Conference,26.6
Big 12 Conference - North,25.2
Mountain West Conference,24.8
Atlantic Coast Conference - Atlantic,24.2
Western Athletic Conference,20.3
Conference USA - East,19.3
Mid-American Conference - West,14.2
Sun Belt Conference,12.9
Mid-American Conference - East,12.6
Conference USA - West,11.6
FCS,0.5
