Division,Score
Southeastern Conference - West,42.0
Big 12 Conference - South,36.8
Atlantic Coast Conference - Coastal,34.2
Southeastern Conference - East,33.6
Big East Conference,32.5
Pacific-10 Conference,28.7
Big Ten Conference,27.7
Independent,26.1
Mountain West Conference,25.5
Big 12 Conference - North,25.2
Atlantic Coast Conference - Atlantic,22.8
Conference USA - East,20.1
Western Athletic Conference,19.7
Sun Belt Conference,14.1
Mid-American Conference - West,13.9
Mid-American Conference - East,13.0
Conference USA - West,12.4
FCS,0.6
