Division,Score
Southeastern Conference - West,38.9
Big 12 Conference - South,35.9
Big East Conference,32.5
Southeastern Conference - East,32.3
Atlantic Coast Conference - Coastal,32.0
Pacific-10 Conference,30.5
Independent,27.8
Big Ten Conference,27.0
Big 12 Conference - North,24.9
Mountain West Conference,23.6
Atlantic Coast Conference - Atlantic,22.6
Western Athletic Conference,19.2
Conference USA - East,16.0
Mid-American Conference - West,13.6
Sun Belt Conference,12.7
Conference USA - West,11.8
Mid-American Conference - East,11.8
FCS,0.3
