Division,Score
Southeastern Conference - East,38.0
Big 12 Conference - South,36.6
Southeastern Conference - West,35.5
Big Ten Conference,30.7
Independent,30.2
Pacific-10 Conference,29.8
Big 12 Conference - North,28.6
Big East Conference,27.9
Mountain West Conference,27.3
Atlantic Coast Conference - Atlantic,25.3
Atlantic Coast Conference - Coastal,23.8
Conference USA - East,22.1
Conference USA - West,18.0
Western Athletic Conference,17.2
Sun Belt Conference,16.7
Mid-American Conference - East,16.6
Mid-American Conference - West,11.7
FCS,1.6
