Division,Score
Southeastern Conference - West,42.2
Big 12 Conference - South,37.1
Southeastern Conference - East,34.5
Atlantic Coast Conference - Coastal,33.9
Big East Conference,32.6
Pacific-10 Conference,29.7
Big Ten Conference,27.3
Mountain West Conference,25.6
Big 12 Conference - North,25.2
Independent,24.7
Atlantic Coast Conference - Atlantic,22.1
Conference USA - East,20.2
Western Athletic Conference,19.2
Mid-American Conference - West,14.3
Sun Belt Conference,14.1
Mid-American Conference - East,13.3
Conference USA - West,12.9
FCS,0.6
