Division,Score
Southeastern Conference - West,41.8
Big 12 Conference - South,37.3
Southeastern Conference - East,34.1
Atlantic Coast Conference - Coastal,33.9
Big East Conference,32.4
Pacific-10 Conference,30.5
Big Ten Conference,27.3
Big 12 Conference - North,25.1
Mountain West Conference,24.9
Independent,24.6
Atlantic Coast Conference - Atlantic,22.0
Western Athletic Conference,20.2
Conference USA - East,19.3
Mid-American Conference - West,14.4
Sun Belt Conference,13.9
Mid-American Conference - East,13.6
Conference USA - West,11.7
FCS,0.5
