Division,Score
Southeastern Conference - West,41.6
Big 12 Conference,39.8
Pac-12 Conference - North,39.5
Independent,37.6
Southeastern Conference - East,37.4
Big Ten Conference - Legends,33.2
Big Ten Conference - Leaders,30.4
Pac-12 Conference - South,29.8
Atlantic Coast Conference - Atlantic,27.9
Big East Conference,26.5
Atlantic Coast Conference - Coastal,25.5
Western Athletic Conference,24.5
Mid-American Conference - West,23.1
Mountain West Conference,22.9
Sun Belt Conference,22.7
Conference USA - West,18.1
Mid-American Conference - East,15.3
Conference USA - East,15.1
FCS,1.5
