Division,Score
Southeastern Conference - West,44.2
Big 12 Conference,41.1
Pac-12 Conference - North,39.3
Independent,38.2
Southeastern Conference - East,38.1
Big Ten Conference - Legends,35.3
Pac-12 Conference - South,32.0
Big Ten Conference - Leaders,30.9
Atlantic Coast Conference - Atlantic,30.1
Big East Conference,26.4
Atlantic Coast Conference - Coastal,25.7
Western Athletic Conference,24.5
Sun Belt Conference,23.3
Mid-American Conference - West,22.5
Mountain West Conference,22.1
Conference USA - West,17.7
Mid-American Conference - East,16.8
Conference USA - East,16.2
FCS,1.6
