Division,Score
Southeastern Conference - West,41.7
Big 12 Conference,39.8
Pac-12 Conference - North,39.4
Independent,37.6
Southeastern Conference - East,37.5
Big Ten Conference - Legends,33.2
Big Ten Conference - Leaders,30.4
Pac-12 Conference - South,29.7
Atlantic Coast Conference - Atlantic,28.1
Big East Conference,26.7
Atlantic Coast Conference - Coastal,25.6
Western Athletic Conference,25.0
Mountain West Conference,23.1
Sun Belt Conference,22.7
Mid-American Conference - West,22.6
Conference USA - West,18.1
Mid-American Conference - East,15.4
Conference USA - East,15.1
FCS,1.5
