Division,Score
Southeastern Conference - West,41.8
Pac-12 Conference - North,37.7
Southeastern Conference - East,36.8
Big 12 Conference,36.8
Independent,34.6
Big Ten Conference - Legends,32.3
Big Ten Conference - Leaders,29.2
Atlantic Coast Conference - Atlantic,28.0
Pac-12 Conference - South,27.9
Big East Conference,26.9
Atlantic Coast Conference - Coastal,25.9
Western Athletic Conference,24.2
Mid-American Conference - West,21.5
Sun Belt Conference,21.0
Mountain West Conference,20.6
Conference USA - West,19.3
Mid-American Conference - East,15.4
Conference USA - East,15.2
FCS,1.4
