Division,Score
Southeastern Conference - West,30.0
Big 12 Conference,28.9
Pac-12 Conference - North,28.6
Independent,27.9
Southeastern Conference - East,27.0
Big Ten Conference - Legends,27.0
Big East Conference,26.1
Big Ten Conference - Leaders,25.9
Atlantic Coast Conference - Coastal,24.2
Pac-12 Conference - South,24.0
Atlantic Coast Conference - Atlantic,21.4
Conference USA - West,20.0
Mid-American Conference - West,19.9
Western Athletic Conference,18.6
Mountain West Conference,18.3
Conference USA - East,15.7
Mid-American Conference - East,15.7
Sun Belt Conference,14.8
FCS,3.9
