Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
georgia,9,10,1,57.0,38.9,9.8
florida,5,6,1,64.8,49.0,13.9
south-carolina,14,13,-1,51.5,39.2,9.7
vanderbilt,52,59,7,31.7,23.8,5.4
missouri,62,57,-5,27.9,25.4,7.4
tennessee,66,72,6,25.7,20.5,6.0
kentucky,111,104,-7,8.4,4.2,6.2
alabama,1,1,0,84.3,64.4,16.1
texas-am,8,8,0,62.0,54.3,12.9
louisiana-state,11,9,-2,53.6,42.3,12.5
mississippi-state,27,18,-9,42.0,25.5,6.8
mississippi,56,49,-7,30.4,21.3,8.7
arkansas,71,80,9,23.4,15.6,7.2
auburn,95,102,7,13.9,10.2,4.4
kansas-state,3,3,0,76.4,55.2,13.0
oklahoma,10,12,2,54.4,46.5,11.8
texas,22,29,7,45.0,29.9,8.8
oklahoma-state,21,11,-10,46.9,45.3,13.5
baylor,64,73,9,27.3,19.5,8.5
texas-tech,25,15,-10,43.3,35.2,10.9
texas-christian,28,33,5,41.6,32.4,8.6
west-virginia,53,48,-5,31.3,18.5,6.2
iowa-state,46,36,-10,34.2,28.4,7.2
kansas,100,96,-4,10.7,11.1,9.9
stanford,17,17,0,49.5,36.4,9.1
oregon,2,2,0,79.2,58.5,14.2
oregon-state,12,14,2,51.9,34.1,11.8
washington,63,63,0,27.5,16.0,4.7
california,83,82,-1,18.8,17.6,5.2
washington-state,109,101,-8,8.9,-6.1,8.0
ucla,16,26,10,50.3,37.4,7.5
arizona-state,41,35,-6,36.3,32.2,7.8
southern-california,30,21,-9,40.0,29.9,7.7
arizona,50,32,-18,33.7,27.4,9.8
utah,60,71,11,28.5,26.6,6.0
colorado,120,119,-1,3.5,-19.8,11.0
wisconsin,36,38,2,37.8,26.2,7.7
ohio-state,7,7,0,63.6,39.1,9.4
penn-state,37,51,14,37.5,25.8,6.4
purdue,88,83,-5,16.7,8.4,6.3
indiana,82,87,5,19.2,6.4,9.1
illinois,99,97,-2,10.9,0.2,6.8
nebraska,13,16,3,51.9,39.8,9.4
michigan,24,27,3,43.9,36.2,9.9
northwestern,26,30,4,43.0,26.9,6.4
michigan-state,57,53,-4,29.7,24.3,8.4
minnesota,74,70,-4,23.0,7.5,5.3
iowa,80,78,-2,20.6,9.4,5.1
notre-dame,4,4,0,69.6,47.1,11.8
brigham-young,39,42,3,36.5,32.7,8.1
navy,49,52,3,34.0,20.2,8.2
army,96,107,11,12.8,6.6,6.3
florida-state,6,5,-1,64.4,48.5,13.0
clemson,15,23,8,50.5,30.5,6.1
north-carolina-state,75,58,-17,22.9,7.3,6.0
wake-forest,84,90,6,18.5,-0.8,6.4
maryland,90,86,-4,16.1,-0.2,7.2
boston-college,110,106,-4,8.5,-7.5,5.6
north-carolina,34,37,3,38.2,26.9,7.2
miami-fl,68,79,11,23.9,9.2,5.4
georgia-tech,58,68,10,29.2,28.2,8.5
virginia-tech,69,62,-7,23.7,16.2,5.3
duke,73,60,-13,23.1,5.3,5.5
virginia,91,99,8,16.0,6.4,4.5
louisville,23,28,5,44.0,16.8,4.1
cincinnati,31,39,8,39.8,24.6,6.0
rutgers,35,40,5,37.9,15.4,4.5
syracuse,77,75,-2,21.4,11.1,5.6
pittsburgh,70,74,4,23.5,15.9,12.4
connecticut,98,95,-3,12.2,-3.4,3.7
temple,93,88,-5,14.9,0.6,3.9
south-florida,87,91,4,17.2,9.6,3.7
utah-state,20,20,0,47.1,30.8,7.7
san-jose-state,45,45,0,35.0,15.4,5.5
