Division,Score
Big 12 Conference,52.4
Pac-12 Conference - South,46.2
Southeastern Conference - West,45.6
Big Ten Conference - Legends,43.8
Southeastern Conference - East,43.4
Pac-12 Conference - North,40.4
Atlantic Coast Conference - Atlantic,40.1
Atlantic Coast Conference - Coastal,38.4
Independent,37.6
Big Ten Conference - Leaders,37.1
Big East Conference,33.3
Western Athletic Conference,32.2
Mountain West Conference,27.2
Sun Belt Conference,26.8
Mid-American Conference - West,26.2
Conference USA - West,22.7
Mid-American Conference - East,22.1
Conference USA - East,21.7
FCS,4.5
