Division,Score
Southeastern Conference - West,41.6
Big 12 Conference,39.7
Pac-12 Conference - North,39.4
Independent,37.4
Southeastern Conference - East,37.4
Big Ten Conference - Legends,33.1
Big Ten Conference - Leaders,30.3
Pac-12 Conference - South,29.8
Atlantic Coast Conference - Atlantic,28.0
Big East Conference,26.6
Atlantic Coast Conference - Coastal,25.5
Western Athletic Conference,24.4
Mid-American Conference - West,23.1
Mountain West Conference,22.9
Sun Belt Conference,22.6
Conference USA - West,18.0
Mid-American Conference - East,15.4
Conference USA - East,15.0
FCS,1.5
