Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
georgia,10,18,8,53.0,36.9,9.0
florida,6,4,-2,62.8,49.9,11.5
south-carolina,13,15,2,49.7,38.0,9.2
vanderbilt,59,68,9,26.1,18.3,4.3
missouri,57,64,7,28.3,22.8,7.5
tennessee,72,67,-5,23.6,22.8,2.1
kentucky,104,101,-3,9.7,8.4,4.3
alabama,1,1,0,84.1,67.1,14.8
texas-am,8,10,2,56.5,51.0,11.4
louisiana-state,9,8,-1,55.2,39.9,12.6
mississippi-state,18,14,-4,46.9,28.7,3.5
mississippi,49,55,6,32.7,22.3,5.8
arkansas,80,71,-9,20.4,15.2,4.8
auburn,102,99,-3,10.0,6.4,3.3
kansas-state,3,3,0,74.0,55.0,10.0
oklahoma,12,7,-5,51.2,46.7,10.2
texas,29,29,0,41.4,28.2,9.1
oklahoma-state,11,16,5,51.7,47.4,13.6
baylor,73,60,-13,23.4,17.8,8.8
texas-tech,15,11,-4,48.9,39.5,9.0
texas-christian,33,23,-10,39.2,33.4,7.5
west-virginia,48,44,-4,33.1,18.2,6.1
iowa-state,36,45,9,37.4,30.3,4.2
kansas,96,98,2,11.8,13.4,6.5
stanford,17,17,0,47.5,37.4,8.2
oregon,2,2,0,77.1,58.7,12.6
oregon-state,14,12,-2,49.0,33.6,8.6
washington,63,78,15,24.9,16.0,1.4
california,82,70,-12,19.8,17.8,3.4
washington-state,101,104,3,10.3,-3.0,7.1
ucla,26,35,9,42.8,30.4,5.5
arizona-state,35,31,-4,38.1,31.6,7.3
southern-california,21,13,-8,44.1,32.4,7.0
arizona,32,42,10,40.4,35.4,7.8
utah,71,86,15,23.6,22.9,2.9
colorado,119,120,1,4.1,-17.5,11.1
wisconsin,38,26,-12,37.2,26.6,5.0
ohio-state,7,9,2,60.3,37.4,8.2
penn-state,51,34,-17,32.5,22.0,4.3
purdue,83,75,-8,19.0,11.7,6.4
indiana,87,95,8,16.8,6.5,6.8
illinois,97,93,-4,11.5,0.8,7.2
nebraska,16,22,6,48.5,39.0,8.2
michigan,27,19,-8,42.3,38.6,8.0
northwestern,30,36,6,41.1,25.6,3.5
michigan-state,53,58,5,31.7,25.0,8.0
minnesota,70,81,11,23.9,7.2,3.5
iowa,78,66,-12,21.3,8.7,4.4
notre-dame,4,5,1,70.9,51.3,9.4
brigham-young,42,53,11,36.0,33.0,4.7
navy,52,62,10,32.5,21.9,4.1
army,107,102,-5,8.4,-0.1,6.4
florida-state,5,6,1,63.2,48.3,13.0
clemson,23,30,7,43.6,24.4,3.3
north-carolina-state,58,52,-6,28.0,14.3,4.3
wake-forest,90,88,-2,14.7,-4.3,5.9
maryland,86,82,-4,17.3,0.9,6.6
boston-college,106,109,3,8.5,-8.3,5.7
north-carolina,37,41,4,37.3,26.9,6.0
miami-fl,79,80,1,20.9,8.0,4.7
georgia-tech,68,57,-11,24.1,24.1,8.6
virginia-tech,62,61,-1,25.3,16.7,4.3
duke,60,59,-1,25.6,7.8,3.5
virginia,99,97,-2,10.9,-1.0,4.3
louisville,28,27,-1,42.2,16.8,2.2
cincinnati,39,24,-15,36.9,24.2,4.8
rutgers,40,20,-20,36.9,15.4,2.8
syracuse,75,79,4,22.3,10.8,3.3
pittsburgh,74,77,3,23.2,12.7,11.7
connecticut,95,92,-3,12.7,-3.3,3.8
temple,88,73,-15,15.4,0.0,4.0
south-florida,91,90,-1,14.7,10.3,1.9
utah-state,20,33,13,44.6,30.6,3.6
san-jose-state,45,47,2,34.5,18.0,1.8
louisiana-tech,19,21,2,45.3,26.7,4.5
texas-san-antonio,61,46,-15,25.4,9.8,8.8
texas-state,92,91,-1,14.4,-2.1,16.1
idaho,124,123,-1,1.0,-29.9,12.1
new-mexico-state,118,118,0,4.4,-16.1,8.9
arkansas-state,54,63,9,31.4,20.1,4.7
louisiana-lafayette,65,56,-9,24.8,11.7,2.3
middle-tennessee-state,69,87,18,24.0,7.3,14.5
louisiana-monroe,34,40,6,38.9,24.5,5.8
western-kentucky,31,38,7,40.4,26.8,5.1
troy,77,76,-1,21.7,9.6,8.3
north-texas,84,85,1,18.4,10.3,5.0
florida-atlantic,100,112,12,10.8,-1.5,12.0
florida-international,109,108,-1,7.5,-1.3,5.7
south-alabama,98,100,2,11.2,-0.2,5.3
boise-state,22,32,10,43.7,24.5,5.9
fresno-state,44,48,4,35.3,23.5,5.6
san-diego-state,50,50,0,32.6,19.2,2.3
air-force,46,54,8,34.2,24.9,5.7
nevada,55,39,-16,30.8,16.2,4.8
colorado-state,112,117,5,6.9,-13.2,10.5
wyoming,114,106,-8,6.2,-9.1,8.0
nevada-las-vegas,110,110,0,7.2,-2.6,7.6
new-mexico,64,65,1,24.8,20.0,4.8
hawaii,116,115,-1,4.7,-16.7,10.3
central-florida,41,49,8,36.4,20.7,3.3
east-carolina,85,74,-11,18.2,0.1,4.5
marshall,93,89,-4,13.2,-2.0,5.5
memphis,115,116,1,5.3,-12.6,11.5
alabama-birmingham,113,107,-6,6.7,-6.8,12.6
southern-mississippi,117,113,-4,4.5,-7.0,5.4
tulsa,25,25,0,42.9,23.4,4.3
