Division,Score
Big 12 Conference,42.2
Southeastern Conference - West,39.4
Southeastern Conference - East,39.3
Pac-12 Conference - North,35.6
Big Ten Conference - Legends,34.6
Pac-12 Conference - South,32.3
Big Ten Conference - Leaders,30.3
Atlantic Coast Conference - Atlantic,30.2
Independent,28.5
Big East Conference,28.0
Atlantic Coast Conference - Coastal,27.2
Western Athletic Conference,26.7
Sun Belt Conference,21.4
Mountain West Conference,21.0
Mid-American Conference - West,18.3
Mid-American Conference - East,15.8
Conference USA - West,14.3
Conference USA - East,14.0
FCS,1.5
