Division,Score
Southeastern Conference - West,42.0
Big 12 Conference,40.2
Pac-12 Conference - North,39.1
Independent,38.1
Southeastern Conference - East,37.7
Big Ten Conference - Legends,33.3
Big Ten Conference - Leaders,30.5
Pac-12 Conference - South,29.8
Atlantic Coast Conference - Atlantic,28.2
Big East Conference,26.7
Atlantic Coast Conference - Coastal,25.8
Western Athletic Conference,25.1
Sun Belt Conference,23.1
Mid-American Conference - West,22.0
Mountain West Conference,21.9
Conference USA - West,19.3
Conference USA - East,15.8
Mid-American Conference - East,15.3
FCS,1.5
