Division,Score
Southeastern Conference - West,40.7
Big 12 Conference,38.5
Pac-12 Conference - North,37.4
Southeastern Conference - East,36.7
Independent,36.3
Big Ten Conference - Legends,33.1
Big Ten Conference - Leaders,30.0
Pac-12 Conference - South,28.6
Atlantic Coast Conference - Atlantic,27.3
Big East Conference,26.7
Atlantic Coast Conference - Coastal,25.0
Western Athletic Conference,24.0
Mid-American Conference - West,22.1
Sun Belt Conference,20.8
Mountain West Conference,20.6
Conference USA - West,18.8
Mid-American Conference - East,15.5
Conference USA - East,15.0
FCS,1.3
