Conference,Score
Southeastern Conference,39.3
Big 12 Conference,36.8
Independent,34.6
Pac-12 Conference,32.8
Big Ten Conference,30.8
Big East Conference,26.9
Atlantic Coast Conference,26.9
Western Athletic Conference,24.2
Sun Belt Conference,21.0
Mountain West Conference,20.6
Mid-American Conference,18.2
Conference USA,17.3
FCS,1.4
