Division,Score
Southeastern Conference - West,40.7
Big 12 Conference,39.7
Pac-12 Conference - North,38.9
Independent,36.1
Southeastern Conference - East,35.7
Big Ten Conference - Legends,34.5
Pac-12 Conference - South,31.3
Big Ten Conference - Leaders,29.8
Atlantic Coast Conference - Atlantic,29.5
Big East Conference,26.2
Atlantic Coast Conference - Coastal,26.0
Western Athletic Conference,23.7
Sun Belt Conference,22.6
Mountain West Conference,21.9
Mid-American Conference - West,21.8
Conference USA - West,17.6
Mid-American Conference - East,15.4
Conference USA - East,15.2
FCS,1.4
