Division,Score
Southeastern Conference - West,41.5
Big 12 Conference,40.8
Pac-12 Conference - North,35.8
Southeastern Conference - East,35.1
Big Ten Conference - Legends,34.3
Independent,31.6
Pac-12 Conference - South,30.7
Big Ten Conference - Leaders,29.2
Big East Conference,28.5
Atlantic Coast Conference - Atlantic,28.4
Atlantic Coast Conference - Coastal,25.2
Western Athletic Conference,23.5
Mountain West Conference,21.3
Sun Belt Conference,21.1
Mid-American Conference - West,18.9
Conference USA - West,16.9
Mid-American Conference - East,15.2
Conference USA - East,14.3
FCS,1.3
